flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season
F000001,NH,ANA,star,NH1954,MAA,Chennai,IST,Istanbul,2026-05-23T16:15:00Z,2026-05-24T00:15:00Z,480,0,,0,Economy,764.05,USD,3,A330-300,93,True,True,medium,shoulder,False
F000002,AA,American Airlines,oneworld,AA5208,MAA,Chennai,IST,Istanbul,2026-05-23T14:45:00Z,2026-05-23T22:45:00Z,480,0,,0,Business,2238.42,USD,8,B777-300ER,84,True,True,medium,shoulder,False
F000003,QR,Qatar Airways,oneworld,QR7348,MAA,Chennai,IST,Istanbul,2026-05-23T17:15:00Z,2026-05-24T01:15:00Z,480,0,,0,Economy,675.0,USD,4,A321neo,93,True,False,medium,shoulder,False
F000004,NH,ANA,star,NH3262;NH5397,MAA,Chennai,IST,Istanbul,2026-05-23T15:45:00Z,2026-05-24T06:36:00Z,891,1,FRA,105,Economy,499.85,USD,5,B787-9,89,True,False,medium,shoulder,False
F000005,QR,Qatar Airways,oneworld,QR814;QR4395;QR5285,MAA,Chennai,IST,Istanbul,2026-05-23T17:15:00Z,2026-05-25T20:08:00Z,3053,2,JFK;HKG,351,Economy,423.83,USD,5,A380-800,81,True,False,medium,shoulder,False
F000006,UA,United Airlines,star,UA8486,BOM,Mumbai,LHR,London,2025-08-28T07:25:00Z,2025-08-28T17:05:00Z,580,0,,0,Economy,1027.38,USD,3,B777-300ER,81,False,True,high,summer_peak,False
F000007,KE,Korean Air,skyteam,KE9153,BOM,Mumbai,LHR,London,2025-08-28T06:55:00Z,2025-08-28T16:35:00Z,580,0,,0,Business,3689.26,USD,6,B737-800,87,True,True,high,summer_peak,False
F000008,NH,ANA,star,NH1282,BOM,Mumbai,LHR,London,2025-08-28T06:55:00Z,2025-08-28T16:35:00Z,580,0,,0,Economy,1297.86,USD,4,E190,85,True,True,high,summer_peak,False
F000009,EK,Emirates,none,EK4262;EK4365,BOM,Mumbai,LHR,London,2025-08-28T07:55:00Z,2025-08-29T15:00:00Z,1865,1,SFO,126,Premium Economy,1610.74,USD,3,B787-9,83,True,True,high,summer_peak,False
F000010,KL,KLM,skyteam,KL1776;KL173;KL7878,BOM,Mumbai,LHR,London,2025-08-28T06:55:00Z,2025-08-28T23:02:00Z,967,2,FRA;AMS,301,Business,2324.94,USD,3,B787-9,68,True,True,high,summer_peak,False
F000011,BA,British Airways,oneworld,BA1833;BA9867,BOM,Mumbai,LHR,London,2025-08-28T07:25:00Z,2025-08-29T10:08:00Z,1603,1,JFK,169,Economy,787.68,USD,7,E190,74,True,True,high,summer_peak,False
F000012,QF,Qantas,oneworld,QF9113,ICN,Seoul,DOH,Doha,2025-02-15T08:20:00Z,2025-02-15T17:48:00Z,568,0,,0,Economy,684.67,USD,5,B767-300,94,True,True,low,winter_low,False
F000013,EK,Emirates,none,EK5139,ICN,Seoul,DOH,Doha,2025-02-15T08:50:00Z,2025-02-15T18:18:00Z,568,0,,0,Economy,716.07,USD,7,A320neo,92,True,False,low,winter_low,False
