flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season,duration_hours,is_direct,price_per_hour,departure_hour_utc,is_redeye,layover_hours,inconvenience_score,price_norm,duration_minutes_norm,inconvenience_score_norm
F000001,NH,ANA,star,NH1954,MAA,Chennai,IST,Istanbul,2026-05-23 16:15:00+00:00,2026-05-24 00:15:00+00:00,480,0,,0,Economy,764.05,USD,3,A330-300,93,True,True,medium,shoulder,False,8.0,True,95.51,16,False,0.0,0.35,0.0407,0.1059,0.0161
F000002,AA,American Airlines,oneworld,AA5208,MAA,Chennai,IST,Istanbul,2026-05-23 14:45:00+00:00,2026-05-23 22:45:00+00:00,480,0,,0,Business,2238.42,USD,8,B777-300ER,84,True,True,medium,shoulder,False,8.0,True,279.8,14,False,0.0,0.8,0.1236,0.1059,0.0643
F000003,QR,Qatar Airways,oneworld,QR7348,MAA,Chennai,IST,Istanbul,2026-05-23 17:15:00+00:00,2026-05-24 01:15:00+00:00,480,0,,0,Economy,675.0,USD,4,A321neo,93,True,False,medium,shoulder,False,8.0,True,84.38,17,False,0.0,0.35,0.0357,0.1059,0.0161
F000004,NH,ANA,star,NH3262;NH5397,MAA,Chennai,IST,Istanbul,2026-05-23 15:45:00+00:00,2026-05-24 06:36:00+00:00,891,1,FRA,105,Economy,499.85,USD,5,B787-9,89,True,False,medium,shoulder,False,14.85,False,33.66,15,False,1.75,3.425,0.0259,0.2101,0.3455
F000005,QR,Qatar Airways,oneworld,QR814;QR4395;QR5285,MAA,Chennai,IST,Istanbul,2026-05-23 17:15:00+00:00,2026-05-25 20:08:00+00:00,3053,2,JFK;HKG,351,Economy,423.83,USD,5,A380-800,81,True,False,medium,shoulder,False,50.88,False,8.33,17,False,5.85,7.875,0.0216,0.758,0.8222
F000006,UA,United Airlines,star,UA8486,BOM,Mumbai,LHR,London,2025-08-28 07:25:00+00:00,2025-08-28 17:05:00+00:00,580,0,,0,Economy,1027.38,USD,3,B777-300ER,81,False,True,high,summer_peak,False,9.67,True,106.24,7,False,0.0,0.95,0.0555,0.1313,0.0803
F000007,KE,Korean Air,skyteam,KE9153,BOM,Mumbai,LHR,London,2025-08-28 06:55:00+00:00,2025-08-28 16:35:00+00:00,580,0,,0,Business,3689.26,USD,6,B737-800,87,True,True,high,summer_peak,False,9.67,True,381.52,6,False,0.0,0.65,0.2051,0.1313,0.0482
F000008,NH,ANA,star,NH1282,BOM,Mumbai,LHR,London,2025-08-28 06:55:00+00:00,2025-08-28 16:35:00+00:00,580,0,,0,Economy,1297.86,USD,4,E190,85,True,True,high,summer_peak,False,9.67,True,134.22,6,False,0.0,0.75,0.0707,0.1313,0.0589
F000009,EK,Emirates,none,EK4262;EK4365,BOM,Mumbai,LHR,London,2025-08-28 07:55:00+00:00,2025-08-29 15:00:00+00:00,1865,1,SFO,126,Premium Economy,1610.74,USD,3,B787-9,83,True,True,high,summer_peak,False,31.08,False,51.83,7,False,2.1,3.9,0.0883,0.4569,0.3964
F000010,KL,KLM,skyteam,KL1776;KL173;KL7878,BOM,Mumbai,LHR,London,2025-08-28 06:55:00+00:00,2025-08-28 23:02:00+00:00,967,2,FRA;AMS,301,Business,2324.94,USD,3,B787-9,68,True,True,high,summer_peak,False,16.12,False,144.23,6,False,5.02,8.11,0.1284,0.2293,0.8473
F000011,BA,British Airways,oneworld,BA1833;BA9867,BOM,Mumbai,LHR,London,2025-08-28 07:25:00+00:00,2025-08-29 10:08:00+00:00,1603,1,JFK,169,Economy,787.68,USD,7,E190,74,True,True,high,summer_peak,False,26.72,False,29.48,7,False,2.82,4.71,0.042,0.3905,0.4831
F000012,QF,Qantas,oneworld,QF9113,ICN,Seoul,DOH,Doha,2025-02-15 08:20:00+00:00,2025-02-15 17:48:00+00:00,568,0,,0,Economy,684.67,USD,5,B767-300,94,True,True,low,winter_low,False,9.47,True,72.3,8,False,0.0,0.3,0.0363,0.1282,0.0107
